step,beta,energy,rho,event
278,6.97045,465.962,24173.6,fracture_detected
279,6.99549,465.962,22106.4,step
279,6.99549,465.962,22106.4,fracture_detected
280,7.02053,465.962,20407,step
280,7.02053,465.962,20407,fracture_detected
281,7.04556,465.962,35078.6,step
281,7.04556,465.962,35078.6,fracture_detected
282,7.0706,465.962,27845.6,step
282,7.0706,465.962,27845.6,fracture_detected
283,7.09564,465.962,11132.8,step
283,7.09564,465.962,11132.8,fracture_detected
284,7.12068,465.962,9811.72,step
284,7.12068,465.962,9811.72,fracture_detected
285,7.14571,465.962,12536.3,step
285,7.14571,465.962,12536.3,fracture_detected
286,7.17075,465.962,2859.06,step
286,7.17075,465.962,2859.06,fracture_detected
287,7.19579,465.962,12292.6,step
287,7.19579,465.962,12292.6,fracture_detected
288,7.22083,465.962,385.623,step
288,7.22083,465.962,385.623,fracture_detected
289,7.24586,465.962,18541.6,step
289,7.24586,465.962,18541.6,fracture_detected
290,7.2709,465.962,16997.1,step
290,7.2709,465.962,16997.1,fracture_detected
291,7.29594,465.962,8633.01,step
291,7.29594,465.962,8633.01,fracture_detected
292,7.32098,465.962,5099,step
292,7.32098,465.962,5099,fracture_detected
293,7.34602,465.962,6003.56,step
293,7.34602,465.962,6003.56,fracture_detected
294,7.37105,465.962,15317.2,step
294,7.37105,465.962,15317.2,fracture_detected
295,7.39609,465.962,40542.1,step
295,7.39609,465.962,40542.1,fracture_detected
296,7.42113,465.962,8557.01,step
296,7.42113,465.962,8557.01,fracture_detected
297,7.44617,465.962,13734.5,step
297,7.44617,465.962,13734.5,fracture_detected
298,7.4712,465.962,3853.57,step
298,7.4712,465.962,3853.57,fracture_detected
299,7.49624,465.962,24831.7,step
299,7.49624,465.962,24831.7,fracture_detected
300,7.52128,465.962,18417.7,step
300,7.52128,465.962,18417.7,fracture_detected
301,7.54632,465.962,16333.2,step
301,7.54632,465.962,16333.2,fracture_detected
302,7.57135,465.962,3444.91,step
302,7.57135,465.962,3444.91,fracture_detected
303,7.59639,465.962,13009.3,step
303,7.59639,465.962,13009.3,fracture_detected
304,7.62143,465.962,67461.2,step
304,7.62143,465.962,67461.2,fracture_detected
305,7.64647,465.962,60579.4,step
305,7.64647,465.962,60579.4,fracture_detected
306,7.6715,465.962,6770.23,step
306,7.6715,465.962,6770.23,fracture_detected
307,7.69654,465.962,21370.2,step
307,7.69654,465.962,21370.2,fracture_detected
308,7.72158,465.962,39777.9,step
308,7.72158,465.962,39777.9,fracture_detected
309,7.74662,465.962,38803.4,step
309,7.74662,465.962,38803.4,fracture_detected
310,7.77165,465.962,14913.3,step
310,7.77165,465.962,14913.3,fracture_detected
311,7.79669,465.962,5388.73,step
311,7.79669,465.962,5388.73,fracture_detected
312,7.82173,465.962,22634.4,step
312,7.82173,465.962,22634.4,fracture_detected
313,7.84677,465.962,2772.38,step
313,7.84677,465.962,2772.38,fracture_detected
314,7.8718,465.962,16968.8,step
314,7.8718,465.962,16968.8,fracture_detected
315,7.89684,465.962,12980.9,step
315,7.89684,465.962,12980.9,fracture_detected
316,7.92188,465.962,6316.65,step
316,7.92188,465.962,6316.65,fracture_detected
317,7.94692,465.962,1891.37,step
317,7.94692,465.962,1891.37,fracture_detected
318,7.97195,465.962,16138.7,step
318,7.97195,465.962,16138.7,fracture_detected
319,7.99699,465.962,34615.7,step
319,7.99699,465.962,34615.7,fracture_detected
320,8.02203,465.962,20064.1,step
320,8.02203,465.962,20064.1,fracture_detected
321,8.04707,465.962,20442.7,step
321,8.04707,465.962,20442.7,fracture_detected
322,8.07211,465.962,42766.2,step
322,8.07211,465.962,42766.2,fracture_detected
323,8.09714,465.962,31981.5,step
323,8.09714,465.962,31981.5,fracture_detected
324,8.12218,465.962,12154.4,step
324,8.12218,465.962,12154.4,fracture_detected
325,8.14722,465.962,19446.5,step
325,8.14722,465.962,19446.5,fracture_detected
326,8.17226,465.962,20240.6,step
326,8.17226,465.962,20240.6,fracture_detected
327,8.19729,465.962,26952.3,step
327,8.19729,465.962,26952.3,fracture_detected
328,8.22233,465.962,3615.58,step
328,8.22233,465.962,3615.58,fracture_detected
329,8.24737,465.962,11224.5,step
329,8.24737,465.962,11224.5,fracture_detected
330,8.27241,465.962,27393.9,step
330,8.27241,465.962,27393.9,fracture_detected
331,8.29744,465.962,2440.11,step
331,8.29744,465.962,2440.11,fracture_detected
332,8.32248,465.962,7719.7,step
332,8.32248,465.962,7719.7,fracture_detected
333,8.34752,465.962,4231.31,step
333,8.34752,465.962,4231.31,fracture_detected
334,8.37256,465.962,20267.8,step
334,8.37256,465.962,20267.8,fracture_detected
335,8.39759,465.962,933.623,step
335,8.39759,465.962,933.623,fracture_detected
336,8.42263,465.962,7535.99,step
336,8.42263,465.962,7535.99,fracture_detected
337,8.44767,465.962,7512.03,step
337,8.44767,465.962,7512.03,fracture_detected
338,8.47271,465.962,5523.75,step
338,8.47271,465.962,5523.75,fracture_detected
339,8.49774,465.962,26766.8,step
339,8.49774,465.962,26766.8,fracture_detected
340,8.52278,465.962,14962.7,step
340,8.52278,465.962,14962.7,fracture_detected
341,8.54782,465.962,19818.2,step
341,8.54782,465.962,19818.2,fracture_detected
342,8.57286,465.962,22705.5,step
