step,beta,energy,rho,event
207,5.19278,4.82048e+09,1.26892e+13,step
207,5.19278,4.82048e+09,1.26892e+13,fracture_detected
208,5.21782,4.82048e+09,1.23774e+13,step
208,5.21782,4.82048e+09,1.23774e+13,fracture_detected
209,5.24286,4.82048e+09,3.64158e+10,step
209,5.24286,4.82048e+09,3.64158e+10,fracture_detected
210,5.26789,4.82048e+09,1.33651e+13,step
210,5.26789,4.82048e+09,1.33651e+13,fracture_detected
211,5.29293,4.82048e+09,1.16058e+13,step
211,5.29293,4.82048e+09,1.16058e+13,fracture_detected
212,5.31797,4.82048e+09,1.77794e+13,step
212,5.31797,4.82048e+09,1.77794e+13,fracture_detected
213,5.34301,4.82048e+09,1.9703e+13,step
213,5.34301,4.82048e+09,1.9703e+13,fracture_detected
214,5.36805,4.82048e+09,2.38586e+13,step
214,5.36805,4.82048e+09,2.38586e+13,fracture_detected
215,5.39308,4.82048e+09,2.12326e+13,step
215,5.39308,4.82048e+09,2.12326e+13,fracture_detected
216,5.41812,4.82048e+09,9.94908e+12,step
216,5.41812,4.82048e+09,9.94908e+12,fracture_detected
217,5.44316,4.82048e+09,1.15949e+13,step
217,5.44316,4.82048e+09,1.15949e+13,fracture_detected
218,5.4682,4.82048e+09,2.59366e+11,step
218,5.4682,4.82048e+09,2.59366e+11,fracture_detected
219,5.49323,4.82048e+09,3.66706e+12,step
219,5.49323,4.82048e+09,3.66706e+12,fracture_detected
220,5.51827,4.82048e+09,3.4929e+12,step
220,5.51827,4.82048e+09,3.4929e+12,fracture_detected
221,5.54331,4.82048e+09,1.06363e+13,step
221,5.54331,4.82048e+09,1.06363e+13,fracture_detected
222,5.56835,4.82048e+09,7.88121e+12,step
222,5.56835,4.82048e+09,7.88121e+12,fracture_detected
223,5.59338,4.82048e+09,1.5803e+12,step
223,5.59338,4.82048e+09,1.5803e+12,fracture_detected
224,5.61842,4.82048e+09,2.27989e+13,step
224,5.61842,4.82048e+09,2.27989e+13,fracture_detected
225,5.64346,4.82048e+09,1.51848e+13,step
225,5.64346,4.82048e+09,1.51848e+13,fracture_detected
226,5.6685,4.82048e+09,1.23555e+13,step
226,5.6685,4.82048e+09,1.23555e+13,fracture_detected
227,5.69353,4.82048e+09,2.37697e+12,step
227,5.69353,4.82048e+09,2.37697e+12,fracture_detected
228,5.71857,4.82048e+09,9.59018e+11,step
228,5.71857,4.82048e+09,9.59018e+11,fracture_detected
229,5.74361,4.82048e+09,6.7507e+11,step
229,5.74361,4.82048e+09,6.7507e+11,fracture_detected
230,5.76865,4.82048e+09,7.6638e+12,step
230,5.76865,4.82048e+09,7.6638e+12,fracture_detected
231,5.79368,4.82048e+09,4.82728e+12,step
231,5.79368,4.82048e+09,4.82728e+12,fracture_detected
232,5.81872,4.82048e+09,2.40216e+12,step
232,5.81872,4.82048e+09,2.40216e+12,fracture_detected
233,5.84376,4.82048e+09,1.49058e+12,step
233,5.84376,4.82048e+09,1.49058e+12,fracture_detected
234,5.8688,4.82048e+09,8.37738e+12,step
234,5.8688,4.82048e+09,8.37738e+12,fracture_detected
235,5.89383,4.82048e+09,3.18439e+12,step
