step,beta,energy,rho,type
250,0.59755,222,6648.66,fracture_detected
251,0.59954,222,9224.91,step
251,0.59954,222,9224.91,fracture_detected
252,0.60153,222,3014.29,step
252,0.60153,222,3014.29,fracture_detected
253,0.60352,222,2478.4,step
253,0.60352,222,2478.4,fracture_detected
254,0.605511,222,3405.35,step
254,0.605511,222,3405.35,fracture_detected
255,0.607501,222,5414.52,step
255,0.607501,222,5414.52,fracture_detected
256,0.609491,222,4950.49,step
256,0.609491,222,4950.49,fracture_detected
257,0.611481,222,2383.34,step
257,0.611481,222,2383.34,fracture_detected
258,0.613471,222,6093.58,step
258,0.613471,222,6093.58,fracture_detected
259,0.615462,222,4687.89,step
259,0.615462,222,4687.89,fracture_detected
260,0.617452,222,552.207,step
260,0.617452,222,552.207,fracture_detected
261,0.619442,222,4690.48,step
261,0.619442,222,4690.48,fracture_detected
262,0.621432,222,6390.13,step
262,0.621432,222,6390.13,fracture_detected
263,0.623422,222,1175.75,step
263,0.623422,222,1175.75,fracture_detected
264,0.625413,222,4108.87,step
264,0.625413,222,4108.87,fracture_detected
265,0.627403,222,5522.37,step
265,0.627403,222,5522.37,fracture_detected
266,0.629393,222,6546.49,step
266,0.629393,222,6546.49,fracture_detected
267,0.631383,222,1639.93,step
267,0.631383,222,1639.93,fracture_detected
268,0.633373,222,1158.65,step
268,0.633373,222,1158.65,fracture_detected
269,0.635364,222,344.505,step
269,0.635364,222,344.505,fracture_detected
270,0.637354,222,7292.3,step
270,0.637354,222,7292.3,fracture_detected
271,0.639344,222,7117.53,step
271,0.639344,222,7117.53,fracture_detected
272,0.641334,222,721.312,step
272,0.641334,222,721.312,fracture_detected
273,0.643324,222,3801.21,step
273,0.643324,222,3801.21,fracture_detected
274,0.645315,222,1981.35,step
274,0.645315,222,1981.35,fracture_detected
275,0.647305,222,154.141,step
275,0.647305,222,154.141,fracture_detected
276,0.649295,222,7242.87,step
276,0.649295,222,7242.87,fracture_detected
277,0.651285,222,3182.2,step
277,0.651285,222,3182.2,fracture_detected
278,0.653275,222,244.626,step
278,0.653275,222,244.626,fracture_detected
279,0.655266,222,2222.51,step
279,0.655266,222,2222.51,fracture_detected
280,0.657256,222,8334.03,step
280,0.657256,222,8334.03,fracture_detected
281,0.659246,222,14072.9,step
281,0.659246,222,14072.9,fracture_detected
282,0.661236,222,396.994,step
282,0.661236,222,396.994,fracture_detected
283,0.663226,222,4005.73,step
